nombre,apellidos,nif,telefono,email,categoria,description,urgencia,fecha,direccion_persona,ubicacion_incidencia
Rafael,Guerrero Delgado,87450375M,682690422,rafael.guerrero.delgado@hotmail.es,Mobiliario Urbano,"Bolardo divisor de acera en calle Santa Cruz arrancado y desaparecido, dejando zona de riesgo sin demarcación para vehiculos.",4,2026-03-18T13:09:16+01:00,"Calle Severo Ochoa 97, 6ºA, 18002 Granada","37.180847, -3.607534 - Frente a la iglesia"
Miguel,Sánchez Serrano,66904928K,636199037,miguel.sanchez364@gmail.com,Movilidad,Fisura grande en el asfalto de la Avenida del Ejército que se está agrandando cada semana. Hay peligro de socavón en poco tiempo.,3,2026-03-18T13:12:39+01:00,"Calle Tinajilla 116, 1ºD, 18005 Granada","37.158455, -3.601181 - Al lado del contenedor de reciclaje"
Rubén,Domínguez Castillo,45448286X,952455229,ruben.dominguez456@hotmail.es,Mobiliario Urbano,"Estructura de toldo en patio comercial Bonsai con anclajes aflojados, oscilaciòn visible y peligro inminente de colapso parcial.",5,2026-03-18T18:55:17+01:00,"Calle Pedro Antonio de Alarcón 94, 1ºB, 18004 Granada","37.187746, -3.570669 - En la acera derecha"
Pilar,Pérez González,88995034F,962778672,pilar.perez212@yahoo.es,Mobiliario Urbano,"La papelera de la plaza de la Universidad esta completamente abollada por todos lados, parece que alguien la ha golpeado con algo pesado. No funciona bien la tapa.",1,2026-03-18T19:26:38+01:00,"Calle Doctor Olóriz 27, 2ºC, 18001 Granada","37.160725, -3.588352 - Junto al paso de peatones"
Javier,Medina Álvarez,18725177A,927125446,javier.medina.alvarez@hotmail.es,Limpieza,"El contenedor de recogida selectiva en Plaza Bib-Rambla está prácticamente lleno, con bolsas fuera durante ya tres dias. Huele muy mal.",3,2026-03-19T01:32:42+01:00,"Calle San Antón 25, 5ºB, 18004 Granada","37.187785, -3.579456 - Junto al parque infantil"
Miguel,Castro Jiménez,83695509G,665619864,miguel_castro26@outlook.es,Mobiliario Urbano,"El banco de madera en Cuesta de Gómez tiene la pintura descascarillada en casi toda la estructura, expone la madera sin tratar que se ve deteriorada. Necesita mantenimiento urgente.",2,2026-03-19T03:29:00+01:00,"Calle Zacatín 105, 2ºC, 18014 Granada","37.181144, -3.581421 - Junto al centro de salud"
Lucía,León Gutiérrez,43486121K,948427162,lleon343@gmail.com,Alumbrado Público,"La iluminacion de Calle Panaderos es muy debil en comparación con otras vias, se necesita mejorar.",1,2026-03-19T19:03:43+01:00,"Plaza de Mariana Pineda 38, 3ºA, 18012 Granada","37.187076, -3.574433 - Frente a la farmacia"
María,Torres Prieto,20447627Y,991095389,mariatorres466@gmail.com,Alumbrado Público,"Farola fundida en Calle Agua, pero las adyacentes mantienen el alumbrado de la zona en condiciones aceptables.",2,2026-03-20T05:43:19+01:00,"Avenida de la Constitución 84, 1ºA, 18011 Granada","37.176552, -3.605454 - Junto a la parada de autobús"
Carmen,Jiménez Moreno,83431478J,933747460,carmen.jimenez.moreno@gmail.com,Limpieza,"Envoltorios de caramelos y papeletas electorales en la acera de Calle Reyes Católicos, cerca del Corte Inglés.",1,2026-03-20T11:51:42+01:00,"Camino de Ronda 15, 3ºB, 18011 Granada","37.179929, -3.605740 - Junto a la parada de autobús"
Andrés,Molina Prieto,33118173J,946558865,andres_molina61@gmail.com,Parques y Jardines,Un árbol de gran tamaño ha caido en el paseo de los Tristes blokeando completamente el camino. Nadie puede pasar.,5,2026-03-20T11:52:31+01:00,"Calle Severo Ochoa 112, Bajo A, 18015 Granada","37.164757, -3.572561 - Junto a la fuente"
Daniel,Ortiz Gómez,77915357M,996809943,daniel.ortiz.gomez@hotmail.com,Limpieza,"Se ha vertido aceite de motor en la calzada de Calle Nabataéa, créo que viene de un coche. La mancha ocupa aproximadamente 3 metros.",4,2026-03-21T05:17:08+01:00,"Calle Obispo Hurtado 19, 5ºA, 18008 Granada","37.167222, -3.619989 - A la altura del número 5"
Dolores,Romero Hernández,64409096B,777187909,dolores_romero95@gmail.com,Movilidad,"El semáforo peatonal de la Carrera del Darro esta dandose por vencido, parpadea sin patrón fijo y no responde bien.",3,2026-03-21T07:02:08+01:00,"Carrera del Darro 59, 4ºB, 18009 Granada","37.170584, -3.593565 - Junto al parque infantil"
Raquel,Pérez Navarro,51068479S,680179536,raquel.perez455@hotmail.es,Limpieza,"Botellas vacias y latas de cerveza acumuladas en la esquina de Calle Santa Escolástica y Calle San Pedro, lleva ahi mas de 4 dias.",3,2026-03-21T12:13:11+01:00,"Avenida de Cervantes 50, 1ºD, 18012 Granada","37.163496, -3.580442 - En la rotonda"
Rafael,Alonso Moreno,81007523M,933306038,rafaelalonso969@yahoo.es,Limpieza,"Un envase de refrescos roto en la acera del Paseo de los Mártires, no es gran cosa.",1,2026-03-21T14:40:22+01:00,"Calle Obispo Hurtado 99, 2ºD, 18004 Granada","37.180799, -3.595354 - Bajo la marquesina del autobús"
Antonio,Jiménez Medina,85928929D,913973553,antonio.jimenez.medina@hotmail.com,Alumbrado Público,"Transformador expuesto con cables sueltos junto a la farola de Plaza del Carmen, presenta peligro inmediato.",5,2026-03-21T15:33:42+01:00,"Calle San Juan de Dios 56, 1ºD, 18012 Granada","37.163320, -3.589471 - Frente al supermercado"
Pablo,Molina Ramos,85288620C,666872546,pmolina236@live.com,Movilidad,Pozo de obra sin protección en Calle Santa Escolastica que se vio hace semanas. Sigue ahi sin tapar.,5,2026-03-21T23:14:22+01:00,"Calle Severo Ochoa 72, Ático, 18002 Granada","37.175698, -3.580147 - Frente al portal 54"
Pilar,Molina Castro,82660301A,618618382,pilarmolina267@gmail.com,Alumbrado Público,Tres farolas del Paseo de la Bomba estan inoperativas dejando un segmento de la calle bastante oscuro y poco seguro.,3,2026-03-22T06:06:04+01:00,"Paseo del Salón 1, 4ºA, 18010 Granada","37.156663, -3.588534 - Junto al parque infantil"
Iván,Gil López,54086055Z,739931847,ivan.gil678@gmail.com,Limpieza,El contenedor junto a la parada de autobús en Calle Príncipe está abarrotado y no cabe nada mas. Hay bolsas aguantandose a duras penas.,2,2026-03-22T09:57:20+01:00,"Calle Doctor Olóriz 51, Ático, 18007 Granada","37.187473, -3.605866 - Frente al supermercado"
Juan,Torres Moreno,51885014G,639891958,jtorres530@hotmail.com,Mobiliario Urbano,"Cristal roto en la marquesina de parada de autobús frente a la Catedral. El vidrio está rajado y astillado, peligroso si se cae. Puede cortarse la gente q espera alli.",3,2026-03-22T15:37:00+01:00,"Paseo del Salón 75, Bajo A, 18013 Granada","37.162467, -3.611002 - Junto a la fuente"
Sergio,Vázquez Ramírez,49621352W,618959882,sergio.vazquez494@outlook.es,Otros,Venta ambulante ilegal de articulos falsificados en Calle Alcaiceria. Comerciante no pose licencia y crea aglomeracion.,2,2026-03-22T21:22:28+01:00,"Gran Vía de Colón 104, 1ºC, 18010 Granada","37.166193, -3.575692 - Junto al centro de salud"
Sergio,Moya Sánchez,78749824D,938785308,sergio.moya.sanchez@gmail.com,Limpieza,"Vertido sospechoso de liquido marrón oscuro en la calle junto al CEIP San Antón, los niños pasen por ahi para entrar al colegio. Huele a quimico.",5,2026-03-23T02:23:55+01:00,"Calle Gonzalo Gallas 106, 4ºA, 18007 Granada","37.173788, -3.580201 - Junto al colegio"
Amparo,Sánchez Medina,87194643X,625018524,amparo.sanchez255@hotmail.es,Limpieza,"Papeles varios y un periodico desgarrado en los escalones del Paseo de Ronda, claramente alguien tiró la basura ahi.",1,2026-03-23T03:26:46+01:00,"Calle Alcaicería 12, 5ºA, 18010 Granada","37.182124, -3.570260 - Junto al parque infantil"
Pablo,Castro Gómez,48845132D,957259400,pablocastro514@yahoo.es,Limpieza,El contenedor de vidrio en Calle Paz está algo lleno y se ve cristal royo en el suelo. Podria aber accidentes.,2,2026-03-23T10:32:06+01:00,"Camino de Ronda 116, 2ºB, 18003 Granada","37.157523, -3.594770 - Frente a la iglesia"
Amparo,Molina Gómez,87391792A,687061919,amparo_molina68@live.com,Alumbrado Público,"La farola de la esquina de calle Recogidas con Pza. Nueva emite una luz muy debil, casi no se ve de noche. No se si sea normal o este rota.",1,2026-03-23T13:09:26+01:00,"Calle Alhamar 72, 5ºB, 18006 Granada","37.164748, -3.621640 - A la altura del número 77"
Inés,Iglesias Prieto,66218966B,977219402,iiglesias6@gmail.com,Alumbrado Público,El cable de la acometida eléctrica en calle Ángel Ganivet ha caído y cuelga sobre la calzada. Hay riesgo de electrocución para los vehículos y personas que pasen.,5,2026-03-23T20:48:30+01:00,"Avenida de Madrid 9, 2ºD, 18004 Granada","37.196320, -3.592499 - En la acera derecha"
Lucía,Prieto García,95634159K,767723443,lucia_prieto68@hotmail.com,Otros,Escape de gas detectado en tuberías de vivienda en Calle Elvira. Olor caracteristico de gas en zona de escaleras del edificio.,5,2026-03-23T22:54:36+01:00,"Avenida de Madrid 112, 1ºD, 18012 Granada","37.169316, -3.613374 - Frente a la iglesia"
Andrés,López Flores,16952533S,657550497,alopez847@gmail.com,Mobiliario Urbano,"Bolardo de seguridad completamente arrancado en la calle Navas, dejando un hueco profundo en el suelo que es un peligro para peatones y bicicletas. He visto a varias personas casi tropezar.",4,2026-03-24T02:11:23+01:00,"Calle Duquesa 19, 1ºC, 18005 Granada","37.186390, -3.584865 - Al lado del contenedor de reciclaje"
Luis,Núñez Pérez,75052567W,685898710,luis_nunez39@gmail.com,Alumbrado Público,"Farola en Cuesta del Chapiz completamente apagada. Hai otras más cerca que funcionan normalmente, pero esta zona queda algo mas oscura.",2,2026-03-24T02:18:14+01:00,"Calle Molinos 100, 4ºA, 18013 Granada","37.174580, -3.590064 - Junto al centro de salud"
Daniel,Hernández Moya,52526599G,790552791,daniel_hernandez58@gmail.com,Alumbrado Público,Toda la Avenida de la Constitución desde la rotonda hasta el puente está a oscuras prácticamente. Parece haber un corte general en el alumbrado de todo el tramo. Muy peligroso para los conductores y peatones.,4,2026-03-24T02:43:26+01:00,"Calle Ángel Ganivet 83, 3ºD, 18011 Granada","37.162300, -3.579973 - A la altura del número 21"
Antonio,Gutiérrez Delgado,14709342Z,995194717,antoniogutierrez730@gmail.com,Movilidad,Las baldosas del paso de cebra en Calle Príncipes estan levantadas y deshechas. Hay riesgo de tropiezo para peatones.,2,2026-03-24T04:59:15+01:00,"Calle Zacatín 103, 4ºB, 18010 Granada","37.165826, -3.613722 - Bajo la marquesina del autobús"
Pilar,Gutiérrez Ramos,81111072P,919186284,pilargutierrez523@hotmail.es,Alumbrado Público,Tres farolas consecutivas en calle Virgen del Pozo están sin funcionar. La calle queda muy oscura en ese tramo y es difícil ver bien para transitar.,3,2026-03-24T10:49:40+01:00,"Calle Severo Ochoa 34, 3ºC, 18006 Granada","37.177139, -3.616049 - Junto a la parada de autobús"
Andrés,Romero Cano,77272351X,995787483,aromero423@gmail.com,Limpieza,"Acumulación de bolsas de basura negras en la plaza detras de la Catedral, pareçe que llevan una semana ahi sin recoger. Es un asco.",3,2026-03-24T12:42:49+01:00,"Calle Ángel Ganivet 117, 1ºD, 18010 Granada","37.180105, -3.570674 - Al lado del contenedor de reciclaje"
Vicente,Moreno Navarro,79118030P,937793321,vicentemoreno963@live.com,Parques y Jardines,"La hierba crece sin control en el parque del Buen Amor, es zona de juegos pero está muy descuidada.",1,2026-03-24T15:55:56+01:00,"Calle Profesor Emilio Orozco 86, 2ºC, 18006 Granada","37.168621, -3.618170 - Frente al portal 17"
Miguel,Moreno Sanz,18214284D,719064034,mmoreno248@live.com,Limpieza,"Un papel de chicle pegao en la acera de Calle Elvira, delante de una tienda de ropa.",1,2026-03-24T16:05:14+01:00,"Calle San Juan de Dios 71, 3ºA, 18013 Granada","37.163838, -3.593707 - En la mediana de la avenida"
Cristina,Molina Núñez,94403311H,612808713,cristina.molina.nunez@outlook.es,Mobiliario Urbano,Las barras metalicas del pasamanos del puente sobre el rio Darro estan sueltas y se mueven mucho. Podria desprenderse y causa lesiones graves a quien pase por debajo.,5,2026-03-24T20:31:50+01:00,"Avenida de la Constitución 105, 2ºA, 18002 Granada","37.197180, -3.601310 - A la altura del número 11"
Esperanza,Navarro Blanco,41615162C,950659710,enavarro484@hotmail.com,Alumbrado Público,La luminaria de Paseo del Salón proyecta una luz muy tenue y parpadea constantemente. Podria estar a punto de fundirse.,1,2026-03-24T21:35:23+01:00,"Calle Reyes Católicos 40, 1ºA, 18010 Granada","37.155125, -3.615590 - En la mediana de la avenida"
Mercedes,García Castro,59972204A,698477273,mercedes_garcia45@live.com,Limpieza,"Vertido de gasolina o combustible en la calle Recogidas, cerca de la zona de aparcamiento. Hay un charco amarillento de bastante tamaño.",4,2026-03-24T23:12:37+01:00,"Paseo del Salón 98, Bajo A, 18007 Granada","37.160877, -3.617395 - Junto a la fuente"
Isabel,Flores Guerrero,90823740Y,922710550,isabel_flores48@hotmail.es,Limpieza,"El contenedor en Calle Mesones está lleno hasta arriba, con basura rebosando por los lados.",2,2026-03-24T23:47:50+01:00,"Calle San Juan de Dios 113, 2ºD, 18003 Granada","37.183316, -3.614280 - Junto a la parada de autobús"
Dolores,Guerrero Flores,91513067T,657415818,doloresguerrero604@hotmail.com,Mobiliario Urbano,Papelera oxidada en Paseo de los Tristes con pequeñas abolladuras. Sigue funcionando pero se ve muy desgastada por los años.,1,2026-03-25T03:03:15+01:00,"Camino de Ronda 8, 3ºC, 18001 Granada","37.176280, -3.612441 - Junto al parque infantil"
Rosa,Sanz Delgado,15265822D,992422394,rosa_sanz50@live.com,Movilidad,"Señal de giro obligatorio en Avenida Madrid está rota a la mitad, colgando del poste. No es segura.",2,2026-03-25T06:15:50+01:00,"Calle Doctor Olóriz 108, 2ºC, 18014 Granada","37.181858, -3.595276 - En la esquina con Calle Obispo Hurtado"
Cristina,Cortés Ortiz,78680234V,616010438,cristina.cortes.ortiz@gmail.com,Limpieza,"Basura acumulada durante varios dias en la esquina de Calle Ángel Ganivet y Calle San Antón, hay restos de comida que atraen a las palomas.",3,2026-03-25T10:01:46+01:00,"Calle Neptuno 88, 4ºC, 18009 Granada","37.190639, -3.573215 - Frente a la farmacia"
Pablo,Rodríguez Gallego,71571746R,943112602,pablo_rodriguez29@gmail.com,Parques y Jardines,Dos bancos en el Parque de las Ciencias tienen el respaldo roto y astillos. Riesgos para los ciudadanos que se sientan.,2,2026-03-25T11:39:47+01:00,"Calle San Antón 105, Bajo A, 18009 Granada","37.172947, -3.624713 - Junto a la fuente"
Laura,Flores González,88031115H,615202652,laura.flores169@live.com,Parques y Jardines,"El riego automático de los setos del Jardín Nuevo no funciona correctamente, la mitad de las plantas estan muertas.",3,2026-03-25T15:27:52+01:00,"Calle Alcaicería 25, 4ºB, 18008 Granada","37.168037, -3.573426 - Al lado del contenedor de reciclaje"
Miguel,Ramírez Gómez,97668119E,932052558,mramirez288@live.com,Limpieza,Bolsas plasticas y envoltorios en el parque infantil de Huerta del Rasillo. Los niños estan jugando ahi y pueden pisarlas.,2,2026-03-25T18:06:25+01:00,"Calle Zacatín 8, 2ºD, 18011 Granada","37.170911, -3.618344 - Junto al colegio"
Francisco,García Alonso,42697257B,640426298,francisco.garcia571@yahoo.es,Otros,Pintadas de signos y simbolos variados en varias fachadas de calle Caldereria Nueva. Capa gruesa de pintura que requiere limpieza.,1,2026-03-25T18:43:04+01:00,"Avenida de Cervantes 53, 6ºA, 18006 Granada","37.168661, -3.594128 - Junto al quiosco de prensa"
Alicia,Delgado Vázquez,25565600L,916200769,alicia.delgado625@hotmail.es,Alumbrado Público,He visto una linea de tension derribada en la calle Elvira que toca casi el asfalto. Es un peligro grave que deve ser atendido urgentemente.,5,2026-03-26T01:22:21+01:00,"Calle Mesones 114, 1ºA, 18002 Granada","37.159340, -3.623437 - Junto al colegio"
Teresa,Prieto Torres,91165064X,690122081,teresa_prieto66@outlook.es,Limpieza,"Sustancia quimica desconocida derramada en la calle junto a la escuela de primaria Montessori Granada, area de paso de menores. Emana un olor muy fuerte.",5,2026-03-26T01:34:14+01:00,"Calle Doctor Olóriz 118, 4ºA, 18010 Granada","37.189969, -3.624191 - Al lado del contenedor de reciclaje"
Enrique,Alonso Muñoz,88644545S,793441083,enrique.alonso850@live.com,Limpieza,"Bolsa rota con restos de comida en la acera de Calle Marqués de Mondéjar, atrae hormigas y moskas.",1,2026-03-26T03:10:42+01:00,"Calle Duquesa 29, 6ºA, 18003 Granada","37.166628, -3.581481 - Junto a la parada de autobús"
Carmen,Castro Muñoz,81196771D,697052921,carmen.castro817@gmail.com,Mobiliario Urbano,Banco en la Plaza Nueva con la pintura descubierta y peladuras en los apoyabrazos de hierro. Duele ver como se deteriora sin que nadie lo arregle.,2,2026-03-26T14:56:36+01:00,"Carrera del Darro 44, Bajo B, 18008 Granada","37.183828, -3.571096 - En la esquina con Carrera del Darro"
Marta,Ramos Moya,44527252B,768381276,marta.ramos.moya@outlook.es,Parques y Jardines,"Una rama gruesa del plátano oriental en la Plaza del Carmen se puede caer en cualquier momento, hay riesgo de golpear a peatones.",4,2026-03-26T19:40:54+01:00,"Avenida de la Constitución 11, 4ºA, 18005 Granada","37.199560, -3.622644 - A la altura del número 7"
Pedro,Rivera Calvo,28065687Y,655503741,pedro_rivera31@gmail.com,Limpieza,"El contenedor en Plaza del Carmen está medio lleno pero operativo, sin mayores problemas.",2,2026-03-27T00:22:45+01:00,"Paseo del Salón 33, Bajo B, 18014 Granada","37.193243, -3.570108 - A la altura del número 4"
Pilar,Blanco Jiménez,96142991R,674457897,pilar.blanco824@outlook.es,Alumbrado Público,"Farola apagada en Cuesta de Gomérez. Aunque hay otras en la zona, esta particular no funciona desde hace días.",2,2026-03-27T06:27:19+01:00,"Calle Alhamar 33, 2ºC, 18012 Granada","37.198815, -3.624988 - Junto a la fuente"
Inés,Torres Martínez,77811059N,666414380,ines_torres48@live.com,Limpieza,"Acumulación de material de construcción (escombros, polvo, tablones) en la calle Virgen del Pilar llevando mas de una semana. Ocupa espacio de aparcamiento.",3,2026-03-27T17:53:16+01:00,"Paseo de los Tristes 1, 3ºD, 18013 Granada","37.199002, -3.586909 - Junto al paso de peatones"
Iván,González Muñoz,78146396D,779664661,ivan.gonzalez86@gmail.com,Alumbrado Público,"En la calle Ataulfo Argenta, prácticamente todas las farolas estan fundidas o no encienden. La calle está sumida en casi total oscuridad por las noches.",4,2026-03-27T20:55:14+01:00,"Plaza de Mariana Pineda 6, Bajo B, 18007 Granada","37.161578, -3.575058 - Junto al colegio"
Irene,Herrera Ramírez,30274742A,660039722,irene.herrera.ramirez@gmail.com,Alumbrado Público,Dos farolas consecutivas en plaza de la Paz no funcionan correctamente. El alumbrado de esa plaza ha disminuido considerablemente.,3,2026-03-28T00:30:28+01:00,"Calle Doctor Olóriz 81, 4ºB, 18003 Granada","37.193844, -3.592709 - Frente a la farmacia"
Jesús,García León,86701478B,750221399,jesus_garcia71@gmail.com,Parques y Jardines,El árbol caido en la entrada del Parque Federico García Lorca obstruye el acceso peatonal desde hace varios días.,5,2026-03-28T04:42:46+01:00,"Calle San Antón 9, 1ºC, 18005 Granada","37.168929, -3.575177 - Junto al quiosco de prensa"
Manuel,Gallego Moya,12681748P,941040868,manuel.gallego864@gmail.com,Parques y Jardines,"Césped sin cortar en el parque de Almachicharra hace mas de un mes, la zona es poco estética.",1,2026-03-28T06:29:02+01:00,"Paseo de los Tristes 18, 4ºC, 18011 Granada","37.166308, -3.617397 - En la acera izquierda"
Esperanza,Gómez Prieto,25974847G,630907864,esperanza.gomez178@gmail.com,Alumbrado Público,"Foco de alumbrado en calle Real de la Alhambra con intensidad muy baja, apena ilumina. No sei si es un problema de potencia o del dispositivo.",1,2026-03-28T12:06:51+01:00,"Calle San Antón 76, 1ºD, 18003 Granada","37.172441, -3.576460 - Frente al portal 43"
Patricia,Ruiz Sánchez,67755360M,697436876,patricia.ruiz.sanchez@live.com,Movilidad,Semáforo completamente apagado en la intersección de Calle Arabial con la Vía del Tren durante todo el dia. El tráfico está caótico.,4,2026-03-28T18:53:32+01:00,"Gran Vía de Colón 72, 3ºC, 18006 Granada","37.174629, -3.614304 - A la altura del número 5"
Carlos,López Núñez,77309012D,626904440,clopez477@gmail.com,Limpieza,Envoltorios de snacks y bolsas de plastico dispersas en la acera de la calle Recogidas frente a la tienda de conveniencia.,1,2026-03-28T22:28:31+01:00,"Avenida de Dílar 64, 1ºC, 18011 Granada","37.198547, -3.610948 - Junto al centro de salud"
Alicia,Martínez Jiménez,56408715L,791055358,alicia_martinez14@yahoo.es,Alumbrado Público,En calle San Jerónimo hay un cable eléctrico suelto colgando de los postes que prácticamente cae sobre la calzada en algunos puntos. Supone un peligro eminente.,5,2026-03-29T00:33:31+02:00,"Calle Tinajilla 36, 4ºA, 18015 Granada","37.161544, -3.574570 - Junto a la fuente"
Vicente,Rubio Gómez,76260641R,699771997,vicente.rubio.gomez@hotmail.es,Movilidad,El pavimento de la calle Mesones presenta multiples hundimientos pequenios pero molestos para bicicletas y scooters electricos.,2,2026-03-29T04:55:30+02:00,"Calle Elvira 40, 1ºA, 18006 Granada","37.168560, -3.623124 - Frente a la farmacia"
Antonio,Vázquez González,33146664F,692088609,antonio_vazquez10@gmail.com,Alumbrado Público,La farola de la esquina entre Cuesta del Hospicio y calle Niño del Rollo está completamente fundida hace semanas.,2,2026-03-29T05:37:26+02:00,"Calle Alcaicería 108, Bajo B, 18002 Granada","37.196979, -3.573144 - Junto a la parada de autobús"
Óscar,Navarro Garrido,19354093F,688952424,onavarro491@outlook.es,Movilidad,Pintura en el paso de peatones de Calle Elvira totalmente desgastada y sin visibilidad. Los conductores no ven a los peatones.,1,2026-03-29T07:56:02+02:00,"Calle San Antón 26, 3ºA, 18014 Granada","37.179809, -3.612151 - Frente al portal 31"
Sara,González Sánchez,93025096D,670507756,sara.gonzalez656@outlook.es,Alumbrado Público,"Toda la zona de alumbrado publico en torno a Plaza Nueva está apagada o funcionando muy mal. Apenas se ve nada durante la noche, generando mucha inseguridad.",4,2026-03-29T14:05:51+02:00,"Calle San Juan de Dios 69, 3ºD, 18007 Granada","37.156873, -3.580399 - Junto al colegio"
Pedro,Blanco Torres,59905287Q,665646515,pedro.blanco289@gmail.com,Limpieza,El contenedor de reciclaje en la Plaza Bib-Rambla esta algo lleno y hay papeles sobresaliendo por los lados.,2,2026-03-29T14:26:12+02:00,"Camino de Ronda 35, 3ºA, 18014 Granada","37.157620, -3.609116 - Junto al colegio"
Andrea,Ortiz Sánchez,94978243L,625662728,andrea.ortiz.sanchez@yahoo.es,Limpieza,"Basura acumulada en la esquina de calle Elvira hace 4 dias, hay bolsas rotas y desorden generalizado en la zona.",3,2026-03-29T15:24:01+02:00,"Calle Obispo Hurtado 74, 3ºB, 18004 Granada","37.189195, -3.593274 - Junto al colegio"
Carlos,Castro Ramírez,56727233X,955040563,carlos.castro.ramirez@yahoo.es,Otros,Plaga importante de cucarachas en sotano de edificio residencial en Calle Tundidores. Infestación visible en areas comunes.,3,2026-03-29T19:45:15+02:00,"Calle Duquesa 8, 1ºD, 18014 Granada","37.169818, -3.580517 - Junto a la parada de autobús"
Carlos,Gutiérrez Díaz,27044152Q,618754144,carlos.gutierrez.diaz@gmail.com,Limpieza,"Vertido de aceite de coche en la avenida Constitucion, la mancha es resbaladiza y peligrosa para los peatones.",4,2026-03-29T20:15:58+02:00,"Calle Molinos 113, 2ºB, 18014 Granada","37.162167, -3.618835 - En la acera izquierda"
Nuria,Jiménez Muñoz,57735327Z,732902510,nuriajimenez46@hotmail.es,Parques y Jardines,El banco junto a la zona infantil del Parque de los Alamillos tiene una pata rota y no se puede usar de forma segura.,2,2026-03-29T23:53:16+02:00,"Calle Sierpe 93, 3ºA, 18003 Granada","37.192871, -3.620506 - Frente al portal 38"
Marta,Ramos Núñez,36784546W,664612926,marta_ramos68@live.com,Parques y Jardines,El sistema de riego por goteo en los rosales del Jardín de la Avenida Constitucion está averiado desde hace una semana.,3,2026-03-30T12:58:59+02:00,"Calle Sierpe 101, Bajo A, 18013 Granada","37.181381, -3.596553 - Bajo la marquesina del autobús"
Rocío,Flores Moya,18377500V,989536348,rflores576@outlook.es,Parques y Jardines,"Hay una rama muy gruesa colgando peligrosamente en el cipres del Paseo del Salón, podría caer sobre los niños que juegan.",4,2026-03-31T00:23:08+02:00,"Avenida de la Constitución 34, Bajo A, 18002 Granada","37.175837, -3.587231 - Frente al supermercado"
Elena,Hernández Sanz,64033454M,786272131,ehernandez60@hotmail.com,Otros,Ocupación ilegal de vivienda en Barrio del Sacromonte. Personas sin identificación entran y salen del inmueble regularmente.,4,2026-03-31T10:34:52+02:00,"Calle Real de Cartuja 6, 2ºB, 18008 Granada","37.186042, -3.588749 - Junto al parque infantil"
Carlos,Medina Flores,23855601R,662792682,cmedina408@outlook.es,Limpieza,"Se ha derramado un producto quimico desconocido frente a la escuela infantil Sagrado Corazon, hay olor fuerte y nadie sabe que es.",5,2026-03-31T20:08:49+02:00,"Calle Gonzalo Gallas 65, 2ºD, 18008 Granada","37.176883, -3.596329 - En la esquina con Avenida de Cervantes"
Esperanza,Torres Gutiérrez,77039105F,744988969,esperanzatorres283@outlook.es,Parques y Jardines,"Un pino ha caido completamente sobre el camino principal del Jardín Botanico, no se puede circular por alli.",5,2026-04-01T00:05:35+02:00,"Calle Alhamar 26, 2ºC, 18006 Granada","37.193176, -3.615145 - Junto a la parada de autobús"
Sara,Medina Garrido,71031690P,652279177,saramedina656@gmail.com,Mobiliario Urbano,"La marquesina de la parada de autobús de la Puerta de Elvira tiene un cristal con grieta pronunciada que va de lado a lado. Aunque no ha caido aun, es cuestion de tiempo.",3,2026-04-01T01:47:50+02:00,"Avenida de Cervantes 108, 1ºA, 18013 Granada","37.162279, -3.577679 - Al lado del contenedor de reciclaje"
Carlos,Romero Ruiz,91598945L,969029606,carlosromero820@hotmail.com,Movilidad,Crater profundo en el pavimento de Calle Mariana Pineda que ha causado ya dos accidentes de motos en los ultimos dias.,5,2026-04-01T06:12:45+02:00,"Avenida de Madrid 30, 3ºA, 18007 Granada","37.192364, -3.584060 - Frente a la iglesia"
Francisco,Gutiérrez Delgado,35083307G,662574885,francisco.gutierrez.delgado@gmail.com,Alumbrado Público,Cinco farolas apagadas formando un tramo oscuro en avenida del Camino de Ronda. El transito nocturno es dificil y peligroso en esa seccion.,3,2026-04-01T06:36:19+02:00,"Calle Mesones 1, 4ºC, 18007 Granada","37.167278, -3.607702 - A la altura del número 20"
Fernando,Molina Muñoz,99024579B,624209045,fernando.molina.munoz@gmail.com,Otros,Ruido nocturno continuo de trabajos de construcion sin permiso en Calle Mesones. Comprende taladros y martillos hasta altas horas.,3,2026-04-01T06:41:31+02:00,"Calle Duquesa 107, 1ºB, 18015 Granada","37.173264, -3.581195 - Bajo la marquesina del autobús"
Isabel,Cano Castillo,22628240N,665253232,isabelcano692@gmail.com,Limpieza,"Papeles de caramelos y chicles pegados en la acera del Paseo de los Martires, zona bastante limpia en general.",1,2026-04-01T10:25:38+02:00,"Calle Severo Ochoa 106, 3ºA, 18004 Granada","37.178983, -3.588223 - En la acera derecha"
Dolores,Sanz Gutiérrez,50003047N,657434209,dolores.sanz579@gmail.com,Movilidad,"Semáforo de tráfico en la Ronda Sur que falla intermitentemente, impidiendo pasar en ciertos momentos sin razón aparente.",3,2026-04-01T16:37:22+02:00,"Calle Reyes Católicos 27, 5ºB, 18001 Granada","37.179030, -3.581280 - Frente al supermercado"
Óscar,Guerrero Marín,41800202W,679072009,oguerrero17@hotmail.com,Alumbrado Público,"La iluminación de la calle Agua es muy tenue en algunos puntos, casi insuficiente para poder ver bien. Las bombillas parecen estar muy gastadas.",1,2026-04-01T22:02:49+02:00,"Calle Zacatín 67, 6ºA, 18001 Granada","37.183835, -3.607398 - En la rotonda"
